SpeciesID,Class,Order,Family,Genus,Species,Scientific names,WMostLong,EMostLong
Fis-29581,Actinopteri,Perciformes,Acanthuridae,Acanthurus,monroviae,Acanthurus monroviae,NA,NA
Fis-26602,Actinopteri,Pleuronectiformes,Achiridae,Trinectes,paulistanus,Trinectes paulistanus,-55,-30
Fis-27804,Actinopteri,Pleuronectiformes,Achiridae,Achirus,mazatlanus,Achirus mazatlanus,-120,-70
Fis-28886,Actinopteri,Pleuronectiformes,Achiridae,Trinectes,fimbriatus,Trinectes fimbriatus,NA,NA
Fis-28885,Actinopteri,Pleuronectiformes,Achiridae,Achirus,scutum,Achirus scutum,NA,NA
Fis-28883,Actinopteri,Pleuronectiformes,Achiridae,Achirus,klunzingeri,Achirus klunzingeri,NA,NA
Fis-28888,Actinopteri,Pleuronectiformes,Achiridae,Trinectes,fonsecensis,Trinectes fonsecensis,NA,NA
Fis-25037,Actinopteri,Pleuronectiformes,Achiridae,Trinectes,maculatus,Trinectes maculatus,-79,-74
Fis-115342,Actinopteri,Pleuronectiformes,Achiridae,Gymnachirus,melas,Gymnachirus melas,-98,-73
Fis-28887,Actinopteri,Pleuronectiformes,Achiridae,Trinectes,fluviatilis,Trinectes fluviatilis,NA,NA
Fis-133769,Actinopteri,Pleuronectiformes,Achiropsettidae,Mancopsetta,maculata,Mancopsetta maculata,NA,NA
Fis-32200,Actinopteri,Pleuronectiformes,Achiropsettidae,Achiropsetta,tricholepis,Achiropsetta tricholepis,-180,180
Fis-32203,Actinopteri,Pleuronectiformes,Achiropsettidae,Pseudomancopsetta,andriashevi,Pseudomancopsetta andriashevi,NA,NA
Fis-58742,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,oxyrinchus,Acipenser oxyrinchus,-102,-33
Fis-32981,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,sinensis,Acipenser sinensis,-97,132
Fis-29594,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,transmontanus,Acipenser transmontanus,-163,-107
Fis-29585,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,brevirostrum,Acipenser brevirostrum,-82,-65
Fis-29588,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,medirostris,Acipenser medirostris,-166,-114
Fis-33633,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,mikadoi,Acipenser mikadoi,125,145
Fis-29593,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,sturio,Acipenser sturio,-25,42
Fis-24054,Actinopteri,Acipenseriformes,Acipenseridae,Huso,huso,Huso huso,17,60
Fis-58741,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,gueldenstaedtii,Acipenser gueldenstaedtii,26,54
Fis-29590,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,nudiventris,Acipenser nudiventris,14,53
Fis-29592,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,stellatus,Acipenser stellatus,22,54
Fis-29589,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,naccarii,Acipenser naccarii,10,20
Fis-33943,Actinopteri,Perciformes,Acropomatidae,Malakichthys,elegans,Malakichthys elegans,99,155
Fis-31221,Actinopteri,Perciformes,Acropomatidae,Synagrops,microlepis,Synagrops microlepis,-19,15
Fis-22961,Actinopteri,Perciformes,Acropomatidae,Synagrops,japonicus,Synagrops japonicus,19,-154
Fis-25016,Actinopteri,Perciformes,Acropomatidae,Synagrops,bellus,Synagrops bellus,-93,14
Fis-47983,Actinopteri,Perciformes,Acropomatidae,Acropoma,japonicum,Acropoma japonicum,21,-154
Fis-64776,Actinopteri,Perciformes,Acropomatidae,Synagrops,spinosus,Synagrops spinosus,-97,-32
Fis-27776,Actinopteri,Perciformes,Acropomatidae,Synagrops,philippinensis,Synagrops philippinensis,34,169
Fis-22176,Actinopteri,Perciformes,Acropomatidae,Synagrops,trispinosus,Synagrops trispinosus,NA,NA
Fis-35821,Actinopteri,Perciformes,Acropomatidae,Apogonops,anomalus,Apogonops anomalus,113,155
Fis-25209,Actinopteri,Perciformes,Acropomatidae,Doederleinia,berycoides,Doederleinia berycoides,115,-177
Fis-25042,Actinopteri,Scorpaeniformes,Agonidae,Xeneretmus,triacanthus,Xeneretmus triacanthus,-135,-105
Fis-25041,Actinopteri,Scorpaeniformes,Agonidae,Xeneretmus,latifrons,Xeneretmus latifrons,-127,-116
Fis-28693,Actinopteri,Scorpaeniformes,Agonidae,Agonopsis,chiloensis,Agonopsis chiloensis,-83,-53
Fis-24458,Actinopteri,Scorpaeniformes,Agonidae,Bathyagonus,pentacanthus,Bathyagonus pentacanthus,-165,-115
Fis-30850,Actinopteri,Scorpaeniformes,Agonidae,Odontopyxis,trispinosa,Odontopyxis trispinosa,-172,-117
